Central,Ubicación,Potencia instalada,Coordenadas
Central de Aldeadávila,Salamanca,1.243 MW,"41.21211159893668, -6.685594897938708"
Central José María de Oriol,Cáceres,957 MW,"39.729256026713024, -6.885491270171535"
Central de Villarino,Salamanca,857 MW,"41.26547534089663, -6.495000406071093"
Central de Cortes-La Muela,Valencia,630 MW,"39.26920917847571, -0.9187704088862684"
Central de Saucelle,Salamanca,520 MW,"41.03809694749071, -6.802881200882077"
Cedillo,Caceres,500 MW,"39.66779396509576, -7.539474589040334"
Estany-Gento Sallente,Lleida,468 MW,"42.5073217441974, 0.990033255645025"
Central de Tajo de la Encantada,Málaga,360 MW,"36.90878214306153, -4.76308581446198"
Central de Aguayo,Cantabria,360 MW,"43.097493232291775, -3.9998186165069036"
Mequinenza,Zaragoza,324 MW,"41.36934224588879, 0.2742791636874091"
Mora de Luna,León,80 MW,"42.82296141753982, -5.838159455507269"